tipe_bbm,transmisi,Brand,price
LPG,Manual,Maruti Omni LPG CARGO BSIII W IMMOBILISER,720000000.0
Petrol,Manual,Maruti Alto LX,1260000000.0
Petrol,Manual,Hyundai Verna i (Petrol),1080000000.0
Diesel,Manual,Mahindra Renault Logan 1.5 DLS,809991000.0
Diesel,Manual,Chevrolet Optra Magnum 2.0 LS BSIII,1620000000.0
Diesel,Manual,Mahindra Scorpio S11 BSIV,16616255250.0
Petrol,Manual,Hyundai i20 Active 1.2 SX,9800000000.0
Diesel,Manual,Maruti SX4 Celebration Diesel,2565000000.0
Petrol,Manual,Hyundai Grand i10 Magna,5460000000.0
Petrol,Manual,Maruti Alto LXi BSIII,1125000000.0
Petrol,Manual,Maruti SX4 Zxi with Leather BSIII,2025000000.0
Petrol,Manual,Hyundai i10 Era,1575000000.0
Diesel,Manual,Toyota Innova 2.5 V Diesel 7-seater,9675000000.0
Diesel,Manual,Honda Mobilio V i DTEC,4200000000.0
Diesel,Manual,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,6300000000.0
Diesel,Manual,Tata Indica V2 2001-2011 DLS BSIII,810000000.0
Diesel,Manual,Tata Indica Vista TDI LS,1080000000.0
Diesel,Manual,Chevrolet Beat Diesel LS,1980000000.0
Diesel,Manual,Tata Zest Quadrajet 1.3 75PS XE,4200000000.0
Diesel,Manual,Skoda Fabia 1.2L Diesel Ambiente,1620000000.0
Petrol,Manual,Maruti 800 Std,1530000000.0
Petrol,Manual,Ford Figo Petrol Titanium,4200000000.0
Diesel,Manual,Toyota Innova 2.5 VX (Diesel) 8 Seater,14700000000.0
Diesel,Manual,Hyundai Grand i10 1.2 CRDi Asta,6510000000.0
Diesel,Manual,Chevrolet Beat Diesel LT,1170000000.0
Petrol,Manual,Datsun GO Plus T Option Petrol,6089986000.0
Petrol,Manual,Hyundai Grand i10 1.2 Kappa Asta,7000000000.0
Petrol,Manual,Maruti Omni MPI STD BSIV,2800000000.0
Petrol,Manual,Maruti Baleno Alpha 1.2,8750000000.0
Diesel,Manual,Ford Fiesta Classic 1.4 SXI Duratorq,990000000.0
Petrol,Manual,Hyundai Elite i20 Asta Option BSIV,11200000000.0
Diesel,Manual,Hyundai Grand i10 CRDi Magna,6860000000.0
Diesel,Manual,Maruti Ertiga SHVS ZDI,12320000000.0
Petrol,Manual,Hyundai Santro Xing GL Plus,2610000000.0
Diesel,Manual,Tata Sumo GX TC 7 Str BSIII,1043991000.0
Petrol,Manual,Renault KWID RXT,5040000000.0
Petrol,Manual,Maruti 800 AC,585000000.0
Diesel,Manual,Maruti Vitara Brezza LDi Option,9590000000.0
Petrol,Manual,Honda Jazz S,2700000000.0
Diesel,Manual,Hyundai i20 1.4 Sportz,9520000000.0
Diesel,Manual,Maruti Ertiga SHVS ZDI Plus,14000000000.0
Diesel,Manual,Tata Sumo SE Plus BSIII,900000000.0
Diesel,Manual,Mahindra Xylo E4,1440000000.0
Diesel,Manual,Maruti Swift ZDi BSIV,6300000000.0
Petrol,Manual,Maruti Ertiga VXI,8400000000.0
Diesel,Manual,Hyundai i20 1.4 Magna ABS,1620000000.0
Petrol,Manual,Maruti Alto LXi,900000000.0
Petrol,Manual,Maruti Alto LXi,1080000000.0
Petrol,Manual,Hyundai Getz GL,1170000000.0
Petrol,Manual,Maruti Wagon R LX BS IV,1440000000.0
Diesel,Manual,Mahindra Bolero Power Plus SLX,12040000000.0
Petrol,Manual,Hyundai i20 1.2 Spotz,9100000000.0
Petrol,Manual,Maruti Wagon R LXI Minor,900000000.0
Petrol,Manual,Maruti Alto 800 VXI,3948000000.0
Petrol,Manual,Hyundai i20 Asta (o),2700000000.0
Petrol,Manual,Hyundai i20 Asta,2430000000.0
Diesel,Manual,Hyundai Verna 1.6 SX CRDi (O),4950000000.0
Diesel,Manual,Mahindra Xylo D2 BSIV,4050000000.0
Diesel,Manual,Mahindra Bolero SLX 2WD BSIII,3870000000.0
Petrol,Manual,Maruti Ertiga VXI ABS,3150000000.0
Petrol,Manual,Honda Brio 1.2 E MT,4900000000.0
Petrol,Manual,Toyota Etios Liva G,2069991000.0
Petrol,Manual,Maruti Alto 800 LXI,990000000.0
Petrol,Manual,Maruti Swift Dzire 1.2 Vxi BSIV,3555000000.0
Diesel,Automatic,Mahindra Scorpio VLS AT 2.2 mHAWK,5850000000.0
Diesel,Manual,Mahindra Bolero SLX,3150000000.0
Diesel,Manual,Mahindra XUV500 W11 Option AWD,16616255250.0
Petrol,Manual,Tata Tiago 1.2 Revotron XZ,5040000000.0
Diesel,Manual,Mahindra Marazzo M8 8Str,16616255250.0
Diesel,Manual,Renault Duster 110PS Diesel RxL,11200000000.0
Petrol,Manual,Hyundai EON Magna Plus,3219986000.0
Petrol,Manual,Maruti Wagon R VXI,4410000000.0
Petrol,Manual,Chevrolet Spark 1.0 LT,1125000000.0
Petrol,Manual,Maruti Baleno Alpha,9800000000.0
Petrol,Manual,Hyundai EON 1.0 Kappa Magna Plus,2240000000.0
Petrol,Manual,Ford Figo Aspire 1.2 Ti-VCT Trend,7420000000.0
Diesel,Manual,Ford Figo Aspire Facelift,8736000000.0
Petrol,Manual,Hyundai i10 Era,2250000000.0
Diesel,Manual,Mahindra Bolero SLX,8190000000.0
Petrol,Manual,Hyundai Verna 1.4 VTVT,7000000000.0
Petrol,Manual,Chevrolet Sail 1.2 LT ABS,4900000000.0
Diesel,Manual,Honda City i-DTEC SV,6930000000.0
Petrol,Manual,Hyundai Grand i10 1.2 Kappa Asta,7000000000.0
Diesel,Manual,Mahindra Bolero Power Plus Plus AC BSIV PS,6020000000.0
Petrol,Manual,Hyundai Grand i10 1.2 Kappa Sportz Option,3105000000.0
Petrol,Manual,Maruti Baleno Sigma 1.2,7000000000.0
Petrol,Manual,Tata Tiago 1.2 Revotron XZ,5950000000.0
Petrol,Manual,Maruti Wagon R LXI,720000000.0
Diesel,Manual,Chevrolet Beat Diesel LS,954000000.0
Petrol,Manual,Maruti A-Star Vxi,1620000000.0
Petrol,Manual,Datsun GO A,3500000000.0
Diesel,Manual,Skoda Yeti Ambition 4WD,3150000000.0
Petrol,Manual,Maruti Zen LXi BSII,540000000.0
Diesel,Manual,Hyundai Verna CRDi 1.6 EX,12600000000.0
Diesel,Manual,Ford Aspire Titanium Diesel BSIV,9800000000.0
Diesel,Automatic,BMW 3 Series 320d Sport,10681878375.0
Diesel,Manual,Maruti Ertiga SHVS ZDI Plus,14000000000.0
Diesel,Automatic,BMW X1 sDrive 20d Exclusive,10681878375.0
Diesel,Manual,Toyota Innova Crysta 2.4 VX MT,16616255250.0
Diesel,Manual,Chevrolet Tavera Neo 3 10 Seats BSIV,1440000000.0
Petrol,Automatic,Mitsubishi Outlander 2.4,4725000000.0
Diesel,Manual,Mahindra XUV500 W8 2WD,7650000000.0
Diesel,Manual,Maruti Baleno Alpha 1.3,11200000000.0
Diesel,Manual,Ford Figo Aspire 1.5 TDCi Titanium,9800000000.0
Diesel,Manual,Maruti Swift Dzire VDI,11200000000.0
Petrol,Manual,Hyundai i20 1.2 Spotz,8050000000.0
Diesel,Manual,Renault Duster 110PS Diesel RxZ,3150000000.0
Diesel,Manual,Maruti Swift Vdi BSIII,2250000000.0
Diesel,Manual,Ford Endeavour Titanium 4X2,5400000000.0
Diesel,Manual,Mahindra Scorpio 2.6 Turbo 9 Str,3330000000.0
Petrol,Manual,Maruti Baleno Vxi,720000000.0
Diesel,Manual,Tata Indica DLX,450000000.0
Diesel,Manual,Hyundai Verna CRDi 1.6 EX,12600000000.0
Petrol,Manual,Maruti Wagon R VXI BS IV,4200000000.0
Petrol,Manual,Tata Indica LSI,1125000000.0
Diesel,Manual,Maruti Swift Dzire VDI,6860000000.0
Diesel,Manual,Toyota Etios Liva GD,2700000000.0
Petrol,Manual,Tata Nano STD,495000000.0
Petrol,Manual,Hyundai Grand i10 Sportz,4900000000.0
Diesel,Manual,Hyundai Grand i10 1.2 CRDi Asta,10570000000.0
Diesel,Manual,Maruti Ertiga SHVS VDI,10080000000.0
Diesel,Manual,Mahindra Bolero SLX,2069991000.0
Diesel,Manual,Mahindra Scorpio S7 140 BSIV,15400000000.0
Petrol,Manual,Volkswagen Polo Petrol Comfortline 1.2L,3600000000.0
Diesel,Manual,Hyundai Xcent 1.1 CRDi Base,4900000000.0
Diesel,Manual,Chevrolet Beat Diesel PS,1431000000.0
Petrol,Manual,Maruti Swift ZXi BSIV,7700000000.0
Diesel,Manual,Maruti Ritz VDi,3015000000.0
CNG,Manual,Tata Indigo CS Emax CNG GLX,2590000000.0
CNG,Manual,Maruti Eeco 5 STR With AC Plus HTR CNG,2069991000.0
Petrol,Manual,Maruti Estilo LXI,3150000000.0
Petrol,Manual,Maruti Swift VXI with ABS,2250000000.0
Diesel,Manual,Tata Zest Quadrajet 1.3 XM,5600000000.0
Diesel,Manual,Maruti Swift VDI BSIV,6580000000.0
Petrol,Automatic,Maruti Alto K10 VXI AGS Optional,4200000000.0
Petrol,Manual,Maruti Alto LX,1305000000.0
Petrol,Manual,Maruti SX4 Vxi BSIII,900000000.0
Diesel,Manual,Mahindra Scorpio SLE BSIV,7000000000.0
CNG,Manual,Hyundai Santro Xing GLS CNG,1170000000.0
Diesel,Manual,Chevrolet Cruze LTZ,2160000000.0
Diesel,Manual,Ford Figo Diesel Celebration Edition,1350000000.0
Petrol,Manual,Renault KWID RXT Optional,3780000000.0
Diesel,Manual,Maruti Swift Dzire VDI,5600000000.0
Petrol,Manual,Hyundai EON Era Plus,1800000000.0
Diesel,Manual,Mahindra XUV500 W6 2WD,4950000000.0
Petrol,Manual,Renault KWID 1.0 RXT Optional,4550000000.0
Diesel,Automatic,Skoda Rapid 1.5 TDI AT Style BSIV,12040000000.0
Diesel,Manual,Mahindra XUV500 W8 2WD,5400000000.0
Petrol,Manual,Chevrolet Spark 1.0,1125000000.0
Petrol,Manual,Maruti 800 AC,540000000.0
Diesel,Manual,Chevrolet Tavera Neo 3 10 Seats BSIV,2700000000.0
Petrol,Manual,Ford Fiesta 1.6 ZXi Duratec,1710000000.0
Diesel,Manual,Maruti Ertiga VDI,3600000000.0
Diesel,Manual,Tata Manza Aura Quadrajet BS IV,2340000000.0
Petrol,Manual,Maruti Swift VVT VXI,5600000000.0
Petrol,Manual,Hyundai i20 Sportz Petrol,2250000000.0
Petrol,Manual,Hyundai Grand i10 1.2 Kappa Asta,8400000000.0
Petrol,Manual,Maruti Zen Estilo VXI BSIV,1575000000.0
Diesel,Manual,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,4050000000.0
Petrol,Automatic,Tata Tiago 1.2 Revotron XZA,4900000000.0
Diesel,Manual,Maruti Vitara Brezza ZDi,11200000000.0
Petrol,Manual,Maruti Swift VXI BSIII,2250000000.0
Petrol,Manual,Maruti Swift VXI BSIV,8400000000.0
Diesel,Manual,Maruti Swift VDI BSIV,8400000000.0
Petrol,Manual,Maruti Alto 800 LXI,1820000000.0
Petrol,Manual,Maruti Wagon R LXI,810000000.0
Petrol,Manual,Hyundai i20 Active 1.2 S,8330000000.0
Petrol,Manual,Hyundai EON Era Plus,2660000000.0
Petrol,Manual,Hyundai Santro GLS I - Euro I,450000000.0
Petrol,Manual,Maruti Wagon R LXI Minor,855000000.0
Diesel,Manual,Tata Safari Storme VX,14000000000.0
Petrol,Manual,Mahindra Scorpio REV 116,1980000000.0
Diesel,Manual,Mahindra Bolero SLX,3600000000.0
Petrol,Manual,Datsun GO Plus A,4410000000.0
Diesel,Manual,Toyota Fortuner 4x4 MT,14000000000.0
Diesel,Manual,Ford Ecosport 1.5 DV5 MT Titanium,7000000000.0
Diesel,Automatic,Mahindra XUV500 W11 AT BSIV,16616255250.0
Diesel,Manual,Mahindra Supro VX 8 Str,7000000000.0
Petrol,Manual,Maruti Alto LX,630000000.0
Petrol,Manual,Maruti 800 AC,945000000.0
Diesel,Manual,Ford Endeavour 2.5L 4X2 MT,3600000000.0
Petrol,Manual,Maruti Wagon R LXI,720000000.0
Petrol,Manual,Maruti Alto 800 VXI,4200000000.0
Diesel,Manual,Mahindra KUV 100 D75 K2,5739986000.0
Petrol,Manual,Maruti Swift Glam,2250000000.0
Diesel,Manual,Tata New Safari DICOR 2.2 EX 4x2,2250000000.0
Diesel,Manual,Maruti Swift Dzire VDI,1935000000.0
Diesel,Manual,Toyota Fortuner 4x4 MT,16616255250.0
Petrol,Manual,Honda Brio 1.2 VX MT,6650000000.0
Petrol,Manual,Honda Brio 1.2 VX MT,6650000000.0
Petrol,Manual,Chevrolet Spark 1.0 LS,675000000.0
Diesel,Manual,Chevrolet Sail Hatchback LS ABS,1800000000.0
Petrol,Manual,Tata Tiago NRG Petrol,8050000000.0
Diesel,Manual,Maruti Ritz VDi,1350000000.0
Diesel,Manual,Maruti Vitara Brezza ZDi Plus,11900000000.0
Petrol,Manual,Hyundai Santro Era,4900000000.0
Diesel,Manual,Ford Endeavour 2.5L 4X2 MT,4950000000.0
Petrol,Manual,Hyundai Verna 1.4 VTVT,4620000000.0
Diesel,Manual,Honda City i-DTEC V,14629986000.0
Diesel,Manual,Hyundai Verna 1.6 CRDI,2700000000.0
Petrol,Manual,Hyundai EON D Lite Plus,3290000000.0
Petrol,Manual,Ford Figo Petrol Titanium,1080000000.0
Petrol,Manual,Maruti Wagon R VXI,1170000000.0
Diesel,Manual,Ford Endeavour 4x4 XLT,2475000000.0
Diesel,Manual,Volkswagen Jetta 2.0 TDI Trendline,2430000000.0
Diesel,Manual,Volkswagen Polo 1.5 TDI Highline,7000000000.0
Petrol,Manual,Hyundai Grand i10 Sportz,5600000000.0
Petrol,Manual,Hyundai i20 Asta 1.2,8400000000.0
Diesel,Automatic,Audi Q5 2.0 TDI,10681878375.0
Diesel,Manual,Renault Duster 85PS Diesel RxE,3600000000.0
Diesel,Manual,Ford Figo Diesel Titanium,1980000000.0
Petrol,Manual,Honda Brio E MT,2700000000.0
