price_in_rp,pendapatan,tabungan,DP,Tenor,Suku_Bunga,Cicilan_Bulanan
1200000000.0,2765000,553000,180000000.0,5,8.5,20926861.953592286
2650000000.0,5003000,1000600,397500000.0,15,10.0,24205480.276375353
1300000000.0,5620000,1124000,325000000.0,15,10.0,10477399.89765415
1300000000.0,9201000,1840200,260000000.0,20,8.5,9025361.627001554
1300000000.0,9253000,1850600,325000000.0,25,8.0,7525208.138886804
425000000.0,3569000,713800,106250000.0,25,5.0,1863380.7573066866
280000000.0,1178000,235600,28000000.0,25,5.5,1547500.4805492968
999000000.0,4066000,813200,99900000.0,10,7.0,10439313.366546461
5750000000.0,3362000,672400,1437500000.0,25,9.5,37678168.4997202
1500000000.0,1189000,237800,225000000.0,25,6.5,8608891.307182433
6800000000.0,318000,63600,1700000000.0,20,8.0,42658443.51866678
3000000000.0,653000,130600,750000000.0,5,9.0,46706299.259296216
168000000.0,1279000,255800,33600000.0,5,6.0,2598328.5255551594
870000000.0,2417000,483400,217500000.0,10,5.5,7081339.636921311
495000000.0,3754000,750800,74250000.0,5,8.0,8531292.896850128
275000000.0,2457000,491400,68750000.0,15,7.5,1911962.9925056326
300000000.0,9839000,1967800,60000000.0,25,6.5,1620497.18723434
1440000000.0,1663000,332600,360000000.0,25,6.5,7292237.342554531
764000000.0,6670000,1334000,191000000.0,15,7.0,5150285.991984395
1200000000.0,7391000,1478200,180000000.0,20,8.0,8531688.703733357
764000000.0,6543000,1308600,191000000.0,15,10.0,6157487.324467516
495000000.0,7117000,1423400,49500000.0,15,10.0,4787365.799389665
1500000000.0,1976000,395200,150000000.0,5,9.5,28352512.768116202
300000000.0,9251000,1850200,45000000.0,20,8.5,2212949.2450821116
365000000.0,3591000,718200,54750000.0,15,8.0,2964910.591634931
350000000.0,9486000,1897200,52500000.0,25,5.0,1739155.3734862406
351000000.0,9103000,1820600,52650000.0,25,6.0,1922273.2313320322
393000000.0,8733000,1746600,98250000.0,15,10.0,3167398.5844446775
392000000.0,3748000,749600,58800000.0,5,6.0,6441689.4696055
440000000.0,1625000,325000,44000000.0,5,5.0,7473008.523028351
351000000.0,3716000,743200,87750000.0,10,8.0,3193948.921404793
401000000.0,146000,29200,80200000.0,25,6.5,2166064.5736032347
1990000000.0,3386000,677200,398000000.0,5,8.5,32662317.872665606
1150000000.0,3041000,608200,115000000.0,10,5.5,11232469.768909665
3200000000.0,8604000,1720800,800000000.0,25,6.5,16204971.8723434
950000000.0,5292000,1058400,95000000.0,20,6.0,6125485.549988378
1500000000.0,8281000,1656200,300000000.0,5,5.0,22645480.372813184
1250000000.0,4970000,994000,312500000.0,15,7.5,8690740.875025604
1200000000.0,1577000,315400,240000000.0,25,6.0,6185293.454260939
3200000000.0,3338000,667600,640000000.0,15,9.0,25965224.554541595
850000000.0,5203000,1040600,212500000.0,5,9.5,13388686.584943762
1280000000.0,2231000,446200,320000000.0,10,6.5,10900605.813122557
895000000.0,986000,197200,89500000.0,20,5.0,5315943.479390186
1450000000.0,5501000,1100200,290000000.0,15,8.5,11422978.871936884
1300000000.0,4516000,903200,260000000.0,10,5.5,11286732.907889904
690000000.0,1813000,362600,69000000.0,20,6.5,4630009.171548771
950000000.0,6979000,1395800,190000000.0,5,7.5,15228840.932673885
1350000000.0,155000,31000,270000000.0,5,5.0,20380932.335531868
1000000000.0,5550000,1110000,250000000.0,15,6.0,6328926.210363468
2850000000.0,4986000,997200,285000000.0,10,5.0,27205804.65882287
1150000000.0,5774000,1154800,115000000.0,5,7.5,20739276.796470355
342000000.0,1870000,374000,51300000.0,15,7.0,2612893.7833679994
327000000.0,6438000,1287600,81750000.0,25,8.0,1892879.2780122962
975000000.0,5637000,1127400,97500000.0,20,8.0,7339761.605417666
975000000.0,3937000,787400,97500000.0,15,5.0,6939214.07465707
1370000000.0,7238000,1447600,205500000.0,5,5.0,21975551.578450795
1370000000.0,1121000,224200,137000000.0,5,5.5,23551732.95780728
2150000000.0,8252000,1650400,430000000.0,10,9.0,21788233.0850428
2150000000.0,5962000,1192400,322500000.0,25,5.5,11222448.92144381
2150000000.0,9323000,1864600,322500000.0,5,9.5,38380901.54350545
1200000000.0,2083000,416600,300000000.0,5,7.5,18034153.73606118
1550000000.0,9250000,1850000,310000000.0,20,7.5,9989355.600042349
1250000000.0,1469000,293800,187500000.0,10,6.0,11795928.33130044
168000000.0,2233000,446600,42000000.0,25,6.0,811819.7658717482
1400000000.0,8728000,1745600,350000000.0,10,9.0,13300956.24377613
799000000.0,2485000,497000,79900000.0,10,6.0,7983484.294624138
779000000.0,4344000,868800,116850000.0,15,10.0,7115497.786904302
775000000.0,7682000,1536400,193750000.0,25,5.0,3397929.6162651344
2150000000.0,2108000,421600,215000000.0,15,7.0,17392327.040994424
779000000.0,6568000,1313600,116850000.0,25,5.5,4066180.3301417343
1750000000.0,9217000,1843400,262500000.0,25,6.0,9583983.347097026
750000000.0,1539000,307800,112500000.0,25,9.0,5349876.818172115
1250000000.0,2277000,455400,250000000.0,20,7.5,8055931.935518023
870000000.0,6925000,1385000,130500000.0,25,5.0,4323043.356951513
1500000000.0,3364000,672800,375000000.0,20,10.0,10856493.5070826
1500000000.0,1609000,321800,225000000.0,20,6.5,9506057.477817524
4300000000.0,1581000,316200,1075000000.0,20,7.0,25003390.673708655
1300000000.0,2581000,516200,260000000.0,10,7.5,12344983.990128722
1300000000.0,1436000,287200,325000000.0,5,6.0,18849481.491192564
1800000000.0,3489000,697800,360000000.0,15,6.0,12151538.323897857
520000000.0,4788000,957600,52000000.0,25,9.0,3927438.9818110587
1300000000.0,6615000,1323000,260000000.0,5,9.5,21841935.762104336
685000000.0,1093000,218600,137000000.0,5,7.5,10980795.830401694
930000000.0,9097000,1819400,139500000.0,15,9.5,8254596.118038278
685000000.0,1095000,219000,171250000.0,25,7.0,3631078.1260007787
2100000000.0,4781000,956200,420000000.0,15,5.5,13727002.037635043
520000000.0,2440000,488000,104000000.0,5,9.5,8736774.304841734
520000000.0,9338000,1867600,52000000.0,15,6.5,4076782.4695916707
1200000000.0,6404000,1280800,300000000.0,5,7.0,17821078.686314523
1200000000.0,5741000,1148200,300000000.0,5,9.5,18901675.178744137
2170000000.0,601000,120200,434000000.0,10,7.5,20606627.121984094
1450000000.0,7428000,1485600,217500000.0,25,9.0,10343095.181799423
1200000000.0,6148000,1229600,120000000.0,20,8.0,9033552.745129436
1450000000.0,4498000,899600,362500000.0,25,5.0,6357416.7013992835
1400000000.0,7105000,1421000,140000000.0,25,6.5,8507610.232980285
620000000.0,7068000,1413600,93000000.0,25,8.5,4243546.729845433
1450000000.0,2687000,537400,290000000.0,25,9.0,9734677.818164162
1800000000.0,5380000,1076000,180000000.0,25,8.5,13044678.752086528
1600000000.0,5293000,1058600,400000000.0,25,8.0,9261794.632476065
3000000000.0,7756000,1551200,450000000.0,5,8.5,52317154.883980714
3000000000.0,3897000,779400,300000000.0,25,8.5,21741131.253477544
1600000000.0,1290000,258000,400000000.0,25,9.0,10070356.3636181
1800000000.0,2779000,555800,270000000.0,10,9.5,19797826.30679903
2700000000.0,9228000,1845600,405000000.0,10,7.0,26646895.980674148
1400000000.0,9754000,1950800,350000000.0,25,9.5,9173814.93906231
970000000.0,6494000,1298800,242500000.0,25,9.5,6356143.207778886
575000000.0,3163000,632600,115000000.0,25,7.0,3251184.307465418
900000000.0,2412000,482400,90000000.0,25,9.5,7076942.952990924
1250000000.0,2593000,518600,250000000.0,15,10.0,10746051.177081179
525000000.0,4066000,813200,131250000.0,25,5.5,2417969.5008582766
510000000.0,3814000,762800,76500000.0,15,9.5,4526714.0002145395
895000000.0,2410000,482000,89500000.0,5,5.5,15385986.129370451
2500000000.0,3195000,639000,625000000.0,5,10.0,39838208.833628125
1650000000.0,7230000,1446000,165000000.0,20,5.0,9800342.727367382
690000000.0,228000,45600,172500000.0,5,10.0,10995345.638081362
750000000.0,5568000,1113600,150000000.0,15,8.5,5908437.3475535605
764000000.0,4247000,849400,76400000.0,5,9.5,14440879.836560521
764000000.0,4820000,964000,114600000.0,5,10.0,13797830.835497653
42000000.0,144000,28800,10500000.0,20,8.5,273364.3185101432
1400000000.0,3222000,644400,280000000.0,5,8.0,22709561.60302351
500000000.0,1321000,264200,125000000.0,25,8.0,2894310.8226487706
342000000.0,9722000,1944400,51300000.0,15,9.0,2948472.9601582973
764000000.0,4343000,868600,152800000.0,5,7.5,12247194.181645103
764000000.0,6791000,1358200,152800000.0,20,10.0,5898212.294692343
500000000.0,3049000,609800,50000000.0,10,5.0,4772948.185758399
1150000000.0,1376000,275200,115000000.0,10,6.5,11752215.642272756
599000000.0,140000,28000,59900000.0,25,10.0,4898805.71920647
1680000000.0,1407000,281400,252000000.0,10,9.5,18477971.219679095
1560000000.0,1224000,244800,390000000.0,5,8.5,24004341.652649976
1180000000.0,3893000,778600,295000000.0,20,5.0,5840608.29206743
1180000000.0,6930000,1386000,177000000.0,25,6.0,6462343.056899711
990000000.0,4893000,978600,247500000.0,25,5.0,4340581.058196752
800000000.0,4936000,987200,200000000.0,25,5.0,3507540.249047881
718000000.0,6769000,1353800,143600000.0,15,9.5,5998026.578369622
1390000000.0,9668000,1933600,208500000.0,5,5.5,22568023.105960507
764000000.0,1698000,339600,76400000.0,5,9.5,14440879.836560521
1200000000.0,3678000,735600,300000000.0,5,5.5,17191045.954603855
1310000000.0,8530000,1706000,196500000.0,5,9.0,23114428.544545036
680000000.0,8931000,1786200,102000000.0,15,5.0,4570787.162566139
680000000.0,7023000,1404600,102000000.0,20,8.5,5016018.288852786
1200000000.0,1953000,390600,180000000.0,15,7.0,9168048.362694733
680000000.0,8893000,1778600,170000000.0,25,7.5,3768855.0067670243
680000000.0,3780000,756000,68000000.0,20,6.5,4562907.589352412
1200000000.0,7172000,1434400,180000000.0,5,10.0,21671985.6054937
680000000.0,214000,42800,68000000.0,20,6.0,4384558.077886418
1200000000.0,5838000,1167600,120000000.0,15,6.0,9113653.742923394
390000000.0,1665000,333000,97500000.0,20,5.5,2012070.375488261
455000000.0,6835000,1367000,91000000.0,15,9.0,3691930.366348883
1010000000.0,5997000,1199400,252500000.0,10,5.5,8220865.55550635
690000000.0,2624000,524800,172500000.0,5,10.0,10995345.638081362
988000000.0,2294000,458800,98800000.0,25,5.0,5198174.649088959
465000000.0,8925000,1785000,69750000.0,5,7.0,7826423.723073127
480000000.0,6323000,1264600,48000000.0,5,8.0,8759402.332594784
625000000.0,79000,15800,62500000.0,10,10.0,7433478.949599109
3000000000.0,2171000,434200,300000000.0,15,9.0,27385197.77236809
1180000000.0,7486000,1497200,177000000.0,10,9.5,12978575.023346031
1080000000.0,9617000,1923400,108000000.0,25,7.5,7182994.24819127
1050000000.0,8932000,1786400,210000000.0,25,10.0,7633086.262536514
1080000000.0,9829000,1965800,270000000.0,10,6.0,8992660.657273747
1150000000.0,6093000,1218600,287500000.0,10,6.0,9575518.292467413
1080000000.0,7471000,1494200,216000000.0,25,6.5,5833789.874043624
1080000000.0,537000,107400,108000000.0,25,8.0,7502053.652305613
1150000000.0,2459000,491800,287500000.0,20,10.0,8323311.688763326
1150000000.0,4039000,807800,287500000.0,5,7.5,17282730.663725294
1150000000.0,8609000,1721800,172500000.0,15,6.0,8248700.494173719
1210000000.0,8775000,1755000,181500000.0,15,6.5,8959339.252083404
1180000000.0,1277000,255400,236000000.0,15,10.0,10144272.311164632
1150000000.0,5474000,1094800,230000000.0,15,7.5,8528513.712025126
1180000000.0,3040000,608000,177000000.0,5,8.0,20337223.471279092
968000000.0,8789000,1757800,242000000.0,10,7.5,8617748.439262936
1650000000.0,2626000,525200,165000000.0,10,8.5,18411874.797864906
1180000000.0,7374000,1474800,295000000.0,5,9.5,18586647.2590984
720000000.0,8047000,1609400,72000000.0,15,10.0,6963441.162748603
1300000000.0,1080000,216000,195000000.0,10,6.0,12267765.464552457
1190000000.0,222000,44400,238000000.0,5,7.5,19076127.063033603
1180000000.0,1041000,208200,177000000.0,20,8.0,8389493.892004468
1300000000.0,1234000,246800,325000000.0,25,10.0,8859832.269015597
600000000.0,2266000,453200,120000000.0,5,7.0,9504575.299367744
500000000.0,9957000,1991400,100000000.0,10,5.5,4341051.118419195
1100000000.0,628000,125600,275000000.0,10,9.0,10450751.33439553
1280000000.0,3203000,640600,128000000.0,25,5.5,7074287.9110825
3700000000.0,5860000,1172000,740000000.0,20,5.0,19534689.8808131
1070000000.0,9401000,1880200,214000000.0,10,6.0,9503354.966205342
476000000.0,2311000,462200,119000000.0,10,7.0,4145072.7081048675
968000000.0,8257000,1651400,145200000.0,20,5.5,5659936.7690657815
884000000.0,9920000,1984000,176800000.0,20,6.0,5066600.445557638
1180000000.0,1607000,321400,177000000.0,10,9.0,12705580.107149959
4040000000.0,1816000,363200,404000000.0,15,5.5,29709154.410024416
1100000000.0,5309000,1061800,110000000.0,20,6.0,7092667.478933911
2250000000.0,7564000,1512800,225000000.0,5,6.0,39148923.09709225
1800000000.0,6031000,1206200,360000000.0,10,6.5,16350908.719683835
800000000.0,9765000,1953000,80000000.0,10,7.0,8359810.5037409095
920000000.0,5084000,1016800,138000000.0,5,8.5,16043927.497754086
1970000000.0,8522000,1704400,394000000.0,10,5.0,16715925.201678304
1990000000.0,2124000,424800,298500000.0,20,5.0,11163151.328849783
3950000000.0,7875000,1575000,592500000.0,25,5.0,19627610.64363043
1250000000.0,2256000,451200,250000000.0,10,9.0,12667577.375024885
5300000000.0,2100000,420000,795000000.0,15,5.5,36809609.630682066
1110000000.0,6651000,1330200,166500000.0,25,7.0,6668461.726290481
1870000000.0,4022000,804400,374000000.0,25,5.0,8745467.020959383
1590000000.0,9386000,1877200,159000000.0,25,5.0,8365483.493979195
1620000000.0,4894000,978800,243000000.0,15,9.0,13966450.863907725
500000000.0,7916000,1583200,125000000.0,5,5.5,7162935.814418273
750000000.0,6918000,1383600,75000000.0,5,6.0,13049641.032364083
600000000.0,8429000,1685800,120000000.0,15,9.5,5012278.477746203
799000000.0,1775000,355000,159800000.0,15,5.0,5054752.862131964
799000000.0,2222000,444400,79900000.0,25,7.0,5082449.207605178
799000000.0,690000,138000,199750000.0,20,6.0,4293213.1179304505
959000000.0,6383000,1276600,95900000.0,20,7.0,6691605.113326494
774000000.0,9099000,1819800,116100000.0,20,6.5,4905125.658553842
995000000.0,4639000,927800,149250000.0,10,10.0,11176648.571775015
1400000000.0,8852000,1770400,210000000.0,10,7.5,14125510.527166517
1050000000.0,8599000,1719800,210000000.0,10,6.0,9325722.1630987
975000000.0,7655000,1531000,97500000.0,15,9.0,8900189.27601963
620000000.0,9340000,1868000,124000000.0,10,8.5,6149690.168175753
959000000.0,1060000,212000,191800000.0,25,6.5,5180189.341859107
875000000.0,6202000,1240400,218750000.0,10,8.5,8136560.832389794
600000000.0,8117000,1623400,150000000.0,15,6.0,3797355.7262180806
807000000.0,1202000,240400,201750000.0,5,5.5,11560978.404471092
580000000.0,3472000,694400,116000000.0,10,7.0,5387433.435744141
679000000.0,3271000,654200,67900000.0,15,6.0,5156809.076204153
900000000.0,3618000,723600,225000000.0,5,9.5,14176256.384058101
849000000.0,2183000,436600,84900000.0,5,7.0,15130095.804681027
880000000.0,2117000,423400,176000000.0,10,7.0,8174036.936991111
695000000.0,3191000,638200,104250000.0,5,7.0,11697558.037711447
465000000.0,9303000,1860600,69750000.0,25,9.5,3453286.0520613124
857000000.0,2206000,441200,128550000.0,5,5.5,13914241.584034642
650000000.0,8583000,1716600,162500000.0,5,5.5,9311816.558743754
145000000.0,2220000,444000,29000000.0,5,5.5,2215734.8119267193
1990000000.0,4152000,830400,199000000.0,25,8.5,14421617.064806772
675000000.0,1260000,252000,67500000.0,25,5.0,3551384.5021609794
350000000.0,9320000,1864000,35000000.0,25,8.5,2536465.3129057135
350000000.0,9276000,1855200,52500000.0,15,7.5,2757861.7710081246
2790000000.0,3087000,617400,279000000.0,25,5.5,15419736.931187639
2790000000.0,2664000,532800,697500000.0,5,6.0,40453887.200328656
2790000000.0,9916000,1983200,279000000.0,10,6.5,28511897.079948686
750000000.0,1450000,290000,75000000.0,10,7.5,8012369.416670083
400000000.0,1673000,334600,100000000.0,25,5.5,1842262.4768444013
1350000000.0,2596000,519200,270000000.0,5,7.5,21640984.483273413
1350000000.0,5652000,1130400,270000000.0,5,7.5,21640984.483273413
750000000.0,2964000,592800,75000000.0,25,5.0,3945982.780178866
550000000.0,8816000,1763200,137500000.0,10,6.5,4683854.060326099
700000000.0,2770000,554000,175000000.0,20,9.5,4893688.73612599
682000000.0,3508000,701600,102300000.0,15,6.0,4891838.032196936
2300000000.0,2816000,563200,460000000.0,25,6.5,12423811.768796608
1200000000.0,9286000,1857200,120000000.0,15,7.0,9707345.32520619
4300000000.0,4170000,834000,860000000.0,5,6.5,67307549.87242661
4500000000.0,1781000,356200,900000000.0,5,10.0,76489360.960566
1250000000.0,4505000,901000,187500000.0,5,9.0,22055752.42800099
2300000000.0,3328000,665600,345000000.0,25,8.5,15742189.481684668
2200000000.0,1169000,233800,550000000.0,5,9.0,34251286.123483896
410000000.0,8000000,1600000,61500000.0,15,9.5,3639123.0197803155
1960000000.0,7281000,1456200,294000000.0,20,9.5,15529305.589306474
875000000.0,2443000,488600,87500000.0,10,6.5,8941903.206077097
695000000.0,147000,29400,139000000.0,20,6.0,3983356.685138641
1800000000.0,7122000,1424400,360000000.0,25,6.0,9277940.181391409
1050000000.0,1176000,235200,157500000.0,5,6.5,17462787.285215337
1050000000.0,1781000,356200,210000000.0,15,10.0,9026682.98874819
1050000000.0,8691000,1738200,157500000.0,20,7.5,7189919.252449835
1050000000.0,4367000,873400,105000000.0,10,8.5,11716647.598641304
1050000000.0,6627000,1325400,105000000.0,15,9.0,9584819.22032883
1250000000.0,2762000,552400,125000000.0,5,5.0,21230137.84951236
1690000000.0,9197000,1839400,169000000.0,15,10.0,16344743.840340473
1620000000.0,9527000,1905400,162000000.0,10,5.0,15464352.121857211
735000000.0,2516000,503200,183750000.0,5,9.5,11577276.046980783
1620000000.0,7350000,1470000,162000000.0,10,6.0,16186789.183092743
2100000000.0,3625000,725000,210000000.0,20,7.0,14653149.883196702
799000000.0,9154000,1830800,119850000.0,15,8.5,6687858.707651668
3400000000.0,7220000,1444000,680000000.0,25,5.0,15900849.129017059
1250000000.0,2105000,421000,187500000.0,20,6.0,7612079.996330587
1200000000.0,6242000,1248400,300000000.0,15,9.0,9128399.257456029
1050000000.0,790000,158000,210000000.0,10,7.5,9970948.60741166
1350000000.0,2383000,476600,135000000.0,25,5.0,7102769.004321959
700000000.0,2972000,594400,175000000.0,10,6.0,5828576.351936687
2200000000.0,8742000,1748400,550000000.0,25,9.0,13846739.999974888
703000000.0,3313000,662600,105450000.0,10,8.5,7408764.838696416
1050000000.0,7351000,1470200,105000000.0,25,5.5,5803126.802059864
1050000000.0,4180000,836000,105000000.0,15,9.0,9584819.22032883
950000000.0,6171000,1234200,237500000.0,20,8.0,5959635.491578448
2190000000.0,6557000,1311400,547500000.0,10,7.0,19070817.71165895
950000000.0,8940000,1788000,142500000.0,10,6.5,9168999.16051715
999000000.0,356000,71200,149850000.0,5,9.0,17626957.34045839
2100000000.0,435000,87000,525000000.0,5,5.0,29722192.989317305
545000000.0,6930000,1386000,81750000.0,5,9.0,9616308.058608431
725000000.0,9510000,1902000,145000000.0,15,7.5,5376671.68801584
463000000.0,7724000,1544800,69450000.0,20,8.0,3291809.8915237864
575000000.0,8667000,1733400,143750000.0,10,5.0,4574075.344685133
320000000.0,3811000,762200,48000000.0,15,8.0,2599373.66937857
468000000.0,6130000,1226000,70200000.0,15,10.0,4274779.1582428925
168000000.0,6085000,1217000,33600000.0,15,7.0,1208025.196025659
875000000.0,3485000,697000,131250000.0,10,9.5,9623943.343582863
496000000.0,6447000,1289400,74400000.0,20,5.5,2900132.8899345333
779000000.0,9945000,1989000,116850000.0,15,7.0,5951591.395449332
800000000.0,5599000,1119800,80000000.0,25,8.0,5557076.779485639
800000000.0,7821000,1564200,200000000.0,5,5.0,11322740.186406592
764000000.0,523000,104600,114600000.0,25,5.0,3796327.729552823
1600000000.0,8715000,1743000,320000000.0,10,10.0,16915294.320865527
1150000000.0,1738000,347600,230000000.0,5,7.5,18434912.707973648
764000000.0,3991000,798200,114600000.0,5,6.0,12554721.313210718
42000000.0,3666000,733200,10500000.0,15,8.5,310192.96074656193
1350000000.0,9316000,1863200,270000000.0,15,8.0,10321042.510767851
2200000000.0,946000,189200,440000000.0,5,9.0,36534705.19838282
2000000000.0,3293000,658600,500000000.0,5,8.5,30774796.99057689
625000000.0,2200000,440000,93750000.0,20,6.5,3960857.282423969
1000000000.0,8339000,1667800,200000000.0,5,6.5,15652918.574982936
7775000000.0,3070000,614000,1555000000.0,25,9.5,54343932.3056834
1600000000.0,6111000,1222200,160000000.0,20,7.5,11600541.987145953
680000000.0,3986000,797200,170000000.0,5,8.5,10463430.976796143
490000000.0,8592000,1718400,98000000.0,20,8.5,3401867.0747928936
665000000.0,9416000,1883200,133000000.0,20,5.5,3659560.477811128
445000000.0,1532000,306400,66750000.0,5,10.0,8036694.662037247
570000000.0,7549000,1509800,57000000.0,10,5.0,5441160.931764575
1050000000.0,3337000,667400,210000000.0,5,8.0,17032171.202267632
1500000000.0,993000,198600,375000000.0,15,6.0,9493389.315545201
665000000.0,7600000,1520000,99750000.0,10,7.5,6709617.500404096
665000000.0,4107000,821400,99750000.0,5,10.0,12009892.023044424
950000000.0,5076000,1015200,95000000.0,5,10.0,18166223.228134423
650000000.0,6655000,1331000,97500000.0,20,9.0,4970985.906072192
975000000.0,9130000,1826000,243750000.0,20,8.5,6345957.393985468
799000000.0,9571000,1914200,119850000.0,15,8.5,6687858.707651668
3700000000.0,2086000,417200,370000000.0,15,9.5,34772681.939364284
950000000.0,3970000,794000,95000000.0,25,9.0,7175128.909077896
350000000.0,2469000,493800,70000000.0,25,7.0,1978981.7523702541
524000000.0,3225000,645000,78600000.0,5,5.0,8405247.465042494
325000000.0,3382000,676400,48750000.0,20,8.0,2310665.690594451
325000000.0,9501000,1900200,65000000.0,10,10.0,3435919.15892581
335000000.0,9704000,1940800,33500000.0,10,7.0,3500670.6484415056
310000000.0,4512000,902400,77500000.0,5,6.0,4494876.355592073
1500000000.0,8448000,1689600,225000000.0,25,5.5,7829615.526588705
1500000000.0,8761000,1752200,150000000.0,10,6.5,15328976.924703596
6640000000.0,1843000,368600,1660000000.0,5,6.0,96277351.6165528
327000000.0,1513000,302600,32700000.0,10,8.0,3570671.101878179
332000000.0,8813000,1762600,66400000.0,25,8.0,2049943.8786547026
395000000.0,4962000,992400,79000000.0,20,7.5,2545674.491623695
168000000.0,5366000,1073200,42000000.0,10,8.0,1528727.6888775076
480000000.0,7639000,1527800,120000000.0,15,9.0,3651359.7029824117
395000000.0,4793000,958600,59250000.0,20,9.5,3129630.46315105
360000000.0,2712000,542400,54000000.0,20,5.0,2019464.5620029757
350000000.0,6789000,1357800,52500000.0,20,5.0,1963368.3241695599
370000000.0,285000,57000,92500000.0,15,8.5,2732652.273243522
320000000.0,9311000,1862200,32000000.0,10,8.5,3570787.8395859217
853000000.0,3487000,697400,127950000.0,20,7.0,5621304.93270464
550000000.0,4027000,805400,137500000.0,20,6.5,3075489.1839997876
2200000000.0,961000,192200,550000000.0,20,9.5,15380164.59925311
1950000000.0,2928000,585600,195000000.0,5,6.0,33929066.68414662
1960000000.0,2903000,580600,392000000.0,20,8.5,13607468.299171574
1150000000.0,9297000,1859400,115000000.0,15,8.5,10192054.424529891
1800000000.0,7042000,1408400,450000000.0,15,8.5,13293984.03199551
1400000000.0,1195000,239000,210000000.0,15,9.0,12069772.351525193
1400000000.0,3175000,635000,280000000.0,25,9.5,9785402.601666464
1250000000.0,3715000,743000,187500000.0,25,8.5,8555537.761785144
3250000000.0,9785000,1957000,325000000.0,5,6.5,57230983.539781354
6750000000.0,6656000,1331200,1012500000.0,15,9.5,59912391.179310076
5000000000.0,166000,33200,750000000.0,25,8.0,32802189.323352735
850000000.0,7559000,1511800,85000000.0,25,8.5,6159987.188485304
1850000000.0,1772000,354400,185000000.0,20,5.0,10988263.057957368
1080000000.0,3590000,718000,108000000.0,10,5.0,10309568.081238141
1200000000.0,8199000,1639800,300000000.0,20,7.0,6977690.4205698585
390000000.0,5862000,1172400,78000000.0,15,8.0,2981634.5031107124
2750000000.0,4492000,898400,687500000.0,5,9.5,43316338.95128864
2750000000.0,2474000,494800,687500000.0,5,9.5,43316338.95128864
590000000.0,4788000,957600,147500000.0,25,7.0,3127497.9479422765
990000000.0,6817000,1363400,99000000.0,25,7.5,6584411.39417533
2000000000.0,3242000,648400,500000000.0,15,6.0,12657852.420726936
635000000.0,588000,117600,158750000.0,25,8.0,3675774.7447639387
475000000.0,5295000,1059000,95000000.0,15,6.5,3310207.988129989
525000000.0,4586000,917200,105000000.0,5,8.0,8516085.601133816
