tanggal,pendapatan,tabungan,jumlah_pokok,jumlah_want
12/7/2023,8691000,1738200,4345500,2607300
8/18/2023,4544000,908800,2272000,1363200
12/20/2023,939000,187800,469500,281700
6/26/2023,3369000,673800,1684500,1010700
10/29/2022,2469000,493800,1234500,740700
10/23/2024,4617000,923400,2308500,1385100
2/8/2021,7531000,1506200,3765500,2259300
4/14/2024,4584000,916800,2292000,1375200
10/22/2023,3273000,654600,1636500,981900
1/11/2022,4754000,950800,2377000,1426200
5/13/2023,2467000,493400,1233500,740100
11/7/2024,1724000,344800,862000,517200
11/5/2022,6154000,1230800,3077000,1846200
12/21/2022,7355000,1471000,3677500,2206500
3/23/2021,8335000,1667000,4167500,2500500
3/23/2021,758000,151600,379000,227400
1/26/2023,8462000,1692400,4231000,2538600
4/28/2023,2532000,506400,1266000,759600
10/12/2021,665000,133000,332500,199500
2/16/2022,2192000,438400,1096000,657600
12/2/2024,9580000,1916000,4790000,2874000
4/22/2021,2816000,563200,1408000,844800
5/19/2024,1917000,383400,958500,575100
1/17/2023,3657000,731400,1828500,1097100
5/27/2022,6770000,1354000,3385000,2031000
5/15/2023,441000,88200,220500,132300
9/24/2022,2115000,423000,1057500,634500
8/1/2022,7702000,1540400,3851000,2310600
8/29/2023,165000,33000,82500,49500
8/8/2023,1093000,218600,546500,327900
8/25/2022,6969000,1393800,3484500,2090700
1/21/2022,7934000,1586800,3967000,2380200
4/20/2023,2305000,461000,1152500,691500
11/12/2022,6523000,1304600,3261500,1956900
2/28/2022,8839000,1767800,4419500,2651700
8/22/2023,4971000,994200,2485500,1491300
11/15/2021,2322000,464400,1161000,696600
8/4/2023,7704000,1540800,3852000,2311200
10/16/2022,9367000,1873400,4683500,2810100
4/26/2021,4663000,932600,2331500,1398900
12/19/2021,8485000,1697000,4242500,2545500
8/31/2023,9829000,1965800,4914500,2948700
7/24/2022,315000,63000,157500,94500
8/24/2021,4702000,940400,2351000,1410600
2/10/2022,3225000,645000,1612500,967500
3/28/2023,8205000,1641000,4102500,2461500
1/31/2021,2849000,569800,1424500,854700
10/12/2024,2124000,424800,1062000,637200
10/28/2021,409000,81800,204500,122700
5/5/2024,8204000,1640800,4102000,2461200
6/15/2021,6734000,1346800,3367000,2020200
1/11/2024,9530000,1906000,4765000,2859000
7/29/2023,1742000,348400,871000,522600
9/23/2023,9686000,1937200,4843000,2905800
2/16/2021,1835000,367000,917500,550500
12/2/2024,2716000,543200,1358000,814800
10/13/2021,4103000,820600,2051500,1230900
11/15/2022,4066000,813200,2033000,1219800
10/30/2024,9275000,1855000,4637500,2782500
3/26/2022,3122000,624400,1561000,936600
11/19/2023,7211000,1442200,3605500,2163300
1/15/2022,7179000,1435800,3589500,2153700
4/9/2023,8016000,1603200,4008000,2404800
4/11/2021,7532000,1506400,3766000,2259600
9/22/2023,201000,40200,100500,60300
5/6/2024,8929000,1785800,4464500,2678700
6/2/2021,2162000,432400,1081000,648600
7/11/2022,7378000,1475600,3689000,2213400
6/16/2021,6383000,1276600,3191500,1914900
4/16/2024,7185000,1437000,3592500,2155500
2/19/2024,4297000,859400,2148500,1289100
1/16/2024,3491000,698200,1745500,1047300
1/19/2024,8820000,1764000,4410000,2646000
11/19/2022,8589000,1717800,4294500,2576700
2/24/2022,9424000,1884800,4712000,2827200
9/15/2023,6016000,1203200,3008000,1804800
3/8/2022,3160000,632000,1580000,948000
3/4/2022,2879000,575800,1439500,863700
10/23/2024,9912000,1982400,4956000,2973600
5/1/2023,6283000,1256600,3141500,1884900
9/20/2024,1844000,368800,922000,553200
1/27/2021,9224000,1844800,4612000,2767200
9/5/2022,3337000,667400,1668500,1001100
11/19/2021,7426000,1485200,3713000,2227800
6/11/2021,1838000,367600,919000,551400
5/7/2021,9963000,1992600,4981500,2988900
10/28/2022,3113000,622600,1556500,933900
1/23/2023,5529000,1105800,2764500,1658700
3/31/2021,7550000,1510000,3775000,2265000
6/6/2023,5422000,1084400,2711000,1626600
6/6/2022,750000,150000,375000,225000
2/15/2022,6078000,1215600,3039000,1823400
6/24/2023,734000,146800,367000,220200
5/5/2024,735000,147000,367500,220500
12/17/2023,577000,115400,288500,173100
1/28/2021,8241000,1648200,4120500,2472300
10/24/2021,5703000,1140600,2851500,1710900
11/16/2021,223000,44600,111500,66900
8/1/2021,2873000,574600,1436500,861900
12/27/2022,7415000,1483000,3707500,2224500
5/7/2023,7435000,1487000,3717500,2230500
2/26/2024,9730000,1946000,4865000,2919000
12/3/2021,923000,184600,461500,276900
11/19/2021,1605000,321000,802500,481500
8/21/2022,2222000,444400,1111000,666600
2/12/2023,7122000,1424400,3561000,2136600
10/4/2021,4414000,882800,2207000,1324200
7/16/2021,6535000,1307000,3267500,1960500
3/6/2022,9572000,1914400,4786000,2871600
10/17/2022,5400000,1080000,2700000,1620000
8/14/2024,9775000,1955000,4887500,2932500
7/19/2023,404000,80800,202000,121200
3/15/2023,9871000,1974200,4935500,2961300
4/26/2022,7479000,1495800,3739500,2243700
11/12/2023,1469000,293800,734500,440700
4/23/2023,1154000,230800,577000,346200
7/13/2023,3864000,772800,1932000,1159200
3/24/2022,9498000,1899600,4749000,2849400
12/2/2024,4793000,958600,2396500,1437900
1/5/2023,6109000,1221800,3054500,1832700
7/12/2022,9585000,1917000,4792500,2875500
8/1/2024,4466000,893200,2233000,1339800
8/22/2024,5295000,1059000,2647500,1588500
10/13/2021,394000,78800,197000,118200
6/26/2022,2760000,552000,1380000,828000
7/22/2022,9146000,1829200,4573000,2743800
7/5/2023,6065000,1213000,3032500,1819500
11/21/2024,1178000,235600,589000,353400
7/26/2023,6926000,1385200,3463000,2077800
11/28/2021,3357000,671400,1678500,1007100
12/8/2021,111000,22200,55500,33300
9/18/2021,5456000,1091200,2728000,1636800
12/11/2024,4344000,868800,2172000,1303200
8/10/2023,2859000,571800,1429500,857700
7/17/2024,2607000,521400,1303500,782100
9/18/2022,4748000,949600,2374000,1424400
12/10/2024,961000,192200,480500,288300
10/27/2022,3456000,691200,1728000,1036800
3/22/2022,7160000,1432000,3580000,2148000
12/22/2023,4944000,988800,2472000,1483200
10/23/2023,1900000,380000,950000,570000
2/4/2024,8800000,1760000,4400000,2640000
5/19/2021,5301000,1060200,2650500,1590300
4/29/2021,6350000,1270000,3175000,1905000
2/20/2024,9236000,1847200,4618000,2770800
8/14/2023,9882000,1976400,4941000,2964600
1/3/2023,5961000,1192200,2980500,1788300
6/21/2022,7185000,1437000,3592500,2155500
8/31/2022,5194000,1038800,2597000,1558200
8/20/2024,9582000,1916400,4791000,2874600
10/20/2022,2723000,544600,1361500,816900
10/29/2021,9199000,1839800,4599500,2759700
10/25/2024,7217000,1443400,3608500,2165100
6/24/2021,8203000,1640600,4101500,2460900
2/18/2024,7416000,1483200,3708000,2224800
1/4/2024,4005000,801000,2002500,1201500
10/21/2022,4268000,853600,2134000,1280400
4/17/2021,6419000,1283800,3209500,1925700
8/8/2022,474000,94800,237000,142200
12/30/2022,4811000,962200,2405500,1443300
5/8/2024,2894000,578800,1447000,868200
2/9/2023,7245000,1449000,3622500,2173500
12/24/2021,7350000,1470000,3675000,2205000
11/12/2024,4931000,986200,2465500,1479300
12/3/2023,3751000,750200,1875500,1125300
8/19/2024,7171000,1434200,3585500,2151300
4/13/2022,9286000,1857200,4643000,2785800
12/7/2022,5528000,1105600,2764000,1658400
3/15/2024,6627000,1325400,3313500,1988100
1/29/2024,5364000,1072800,2682000,1609200
10/22/2024,5073000,1014600,2536500,1521900
5/4/2023,3367000,673400,1683500,1010100
3/10/2021,7827000,1565400,3913500,2348100
6/11/2023,7978000,1595600,3989000,2393400
4/30/2024,9261000,1852200,4630500,2778300
8/31/2024,1770000,354000,885000,531000
9/17/2022,1562000,312400,781000,468600
7/9/2021,1407000,281400,703500,422100
3/2/2021,5871000,1174200,2935500,1761300
11/11/2021,3069000,613800,1534500,920700
4/26/2023,7604000,1520800,3802000,2281200
10/1/2024,8605000,1721000,4302500,2581500
8/6/2022,253000,50600,126500,75900
12/8/2022,8881000,1776200,4440500,2664300
9/21/2023,7260000,1452000,3630000,2178000
6/22/2021,531000,106200,265500,159300
3/29/2021,588000,117600,294000,176400
4/11/2024,8574000,1714800,4287000,2572200
9/8/2023,3271000,654200,1635500,981300
5/12/2023,4503000,900600,2251500,1350900
12/15/2022,3247000,649400,1623500,974100
10/6/2022,1131000,226200,565500,339300
11/24/2024,7406000,1481200,3703000,2221800
4/17/2021,9835000,1967000,4917500,2950500
12/25/2022,2134000,426800,1067000,640200
10/24/2024,5188000,1037600,2594000,1556400
10/16/2024,7410000,1482000,3705000,2223000
3/30/2021,3579000,715800,1789500,1073700
5/24/2022,7734000,1546800,3867000,2320200
8/22/2024,9992000,1998400,4996000,2997600
1/18/2021,7130000,1426000,3565000,2139000
3/4/2023,9678000,1935600,4839000,2903400
11/12/2024,6152000,1230400,3076000,1845600
8/27/2024,1791000,358200,895500,537300
1/18/2023,1738000,347600,869000,521400
10/6/2021,2834000,566800,1417000,850200
10/18/2023,5899000,1179800,2949500,1769700
11/16/2022,1226000,245200,613000,367800
1/18/2022,7285000,1457000,3642500,2185500
4/6/2021,827000,165400,413500,248100
6/15/2021,5014000,1002800,2507000,1504200
5/23/2021,6655000,1331000,3327500,1996500
10/21/2021,2748000,549600,1374000,824400
6/2/2024,6431000,1286200,3215500,1929300
5/9/2022,7462000,1492400,3731000,2238600
4/30/2022,3801000,760200,1900500,1140300
1/27/2024,6738000,1347600,3369000,2021400
9/26/2024,9094000,1818800,4547000,2728200
6/14/2021,2410000,482000,1205000,723000
1/7/2022,2075000,415000,1037500,622500
7/20/2023,4493000,898600,2246500,1347900
11/2/2023,9608000,1921600,4804000,2882400
1/23/2022,4825000,965000,2412500,1447500
9/6/2022,2528000,505600,1264000,758400
10/26/2021,5766000,1153200,2883000,1729800
4/6/2023,6738000,1347600,3369000,2021400
10/25/2023,189000,37800,94500,56700
4/21/2022,5363000,1072600,2681500,1608900
7/10/2022,8929000,1785800,4464500,2678700
8/4/2021,7739000,1547800,3869500,2321700
7/15/2023,8262000,1652400,4131000,2478600
3/23/2024,4663000,932600,2331500,1398900
2/6/2023,741000,148200,370500,222300
6/26/2021,2149000,429800,1074500,644700
10/26/2023,1767000,353400,883500,530100
9/20/2023,5669000,1133800,2834500,1700700
8/31/2023,1020000,204000,510000,306000
4/1/2024,1183000,236600,591500,354900
8/24/2024,8873000,1774600,4436500,2661900
9/5/2022,9416000,1883200,4708000,2824800
2/17/2023,7682000,1536400,3841000,2304600
8/4/2022,3950000,790000,1975000,1185000
9/17/2023,8010000,1602000,4005000,2403000
6/13/2023,7896000,1579200,3948000,2368800
9/7/2022,7809000,1561800,3904500,2342700
11/4/2023,5449000,1089800,2724500,1634700
11/12/2024,8932000,1786400,4466000,2679600
5/15/2024,2824000,564800,1412000,847200
12/7/2023,4953000,990600,2476500,1485900
6/25/2024,7250000,1450000,3625000,2175000
8/6/2021,1914000,382800,957000,574200
11/10/2021,2786000,557200,1393000,835800
10/9/2021,7563000,1512600,3781500,2268900
5/5/2021,222000,44400,111000,66600
8/6/2023,4645000,929000,2322500,1393500
12/1/2024,381000,76200,190500,114300
11/9/2022,4803000,960600,2401500,1440900
9/23/2023,6222000,1244400,3111000,1866600
8/16/2021,3527000,705400,1763500,1058100
3/15/2022,8086000,1617200,4043000,2425800
7/12/2022,9669000,1933800,4834500,2900700
6/14/2022,4483000,896600,2241500,1344900
7/23/2024,653000,130600,326500,195900
9/9/2021,2100000,420000,1050000,630000
1/13/2022,8782000,1756400,4391000,2634600
1/16/2023,7471000,1494200,3735500,2241300
8/5/2023,3678000,735600,1839000,1103400
2/27/2022,3875000,775000,1937500,1162500
7/20/2023,6432000,1286400,3216000,1929600
2/5/2021,1604000,320800,802000,481200
7/27/2021,9297000,1859400,4648500,2789100
11/16/2023,9582000,1916400,4791000,2874600
10/8/2024,1480000,296000,740000,444000
7/28/2022,790000,158000,395000,237000
11/15/2021,827000,165400,413500,248100
4/26/2022,9160000,1832000,4580000,2748000
4/15/2022,269000,53800,134500,80700
11/29/2021,8704000,1740800,4352000,2611200
4/3/2022,6799000,1359800,3399500,2039700
4/27/2022,5325000,1065000,2662500,1597500
6/13/2023,2265000,453000,1132500,679500
1/5/2023,7617000,1523400,3808500,2285100
3/4/2024,1518000,303600,759000,455400
11/15/2022,840000,168000,420000,252000
12/9/2021,1188000,237600,594000,356400
11/25/2022,1971000,394200,985500,591300
8/18/2021,6162000,1232400,3081000,1848600
11/28/2021,6010000,1202000,3005000,1803000
6/10/2022,4906000,981200,2453000,1471800
8/3/2023,2659000,531800,1329500,797700
2/26/2022,4483000,896600,2241500,1344900
10/24/2021,54000,10800,27000,16200
9/13/2024,6307000,1261400,3153500,1892100
8/22/2022,2661000,532200,1330500,798300
12/18/2022,5079000,1015800,2539500,1523700
2/21/2023,3460000,692000,1730000,1038000
1/13/2022,4097000,819400,2048500,1229100
4/26/2021,5995000,1199000,2997500,1798500
5/17/2021,1944000,388800,972000,583200
4/19/2023,8132000,1626400,4066000,2439600
1/28/2022,7757000,1551400,3878500,2327100
8/10/2022,1839000,367800,919500,551700
11/19/2023,2664000,532800,1332000,799200
12/3/2022,98000,19600,49000,29400
10/7/2024,9771000,1954200,4885500,2931300
11/3/2024,9009000,1801800,4504500,2702700
1/23/2023,3473000,694600,1736500,1041900
6/20/2022,6793000,1358600,3396500,2037900
9/1/2023,659000,131800,329500,197700
9/24/2021,8123000,1624600,4061500,2436900
8/21/2024,1445000,289000,722500,433500
6/3/2024,6938000,1387600,3469000,2081400
10/22/2024,7626000,1525200,3813000,2287800
1/20/2021,8312000,1662400,4156000,2493600
12/7/2024,523000,104600,261500,156900
3/19/2024,2873000,574600,1436500,861900
9/25/2022,4768000,953600,2384000,1430400
9/21/2023,9108000,1821600,4554000,2732400
8/10/2024,9959000,1991800,4979500,2987700
8/27/2022,4238000,847600,2119000,1271400
9/18/2024,8700000,1740000,4350000,2610000
8/14/2024,8027000,1605400,4013500,2408100
6/1/2022,1966000,393200,983000,589800
6/4/2021,2562000,512400,1281000,768600
10/12/2024,8164000,1632800,4082000,2449200
1/8/2023,1694000,338800,847000,508200
3/11/2022,2206000,441200,1103000,661800
12/18/2021,5436000,1087200,2718000,1630800
2/24/2023,5167000,1033400,2583500,1550100
11/28/2024,9576000,1915200,4788000,2872800
5/15/2024,1258000,251600,629000,377400
3/20/2023,9220000,1844000,4610000,2766000
9/22/2023,741000,148200,370500,222300
10/20/2023,5307000,1061400,2653500,1592100
4/7/2022,5826000,1165200,2913000,1747800
9/14/2024,2788000,557600,1394000,836400
5/6/2021,8922000,1784400,4461000,2676600
12/8/2023,2948000,589600,1474000,884400
2/16/2022,6629000,1325800,3314500,1988700
4/17/2021,7767000,1553400,3883500,2330100
10/16/2022,1821000,364200,910500,546300
7/3/2021,4970000,994000,2485000,1491000
7/21/2022,6700000,1340000,3350000,2010000
8/30/2022,3419000,683800,1709500,1025700
7/15/2022,6692000,1338400,3346000,2007600
7/6/2024,2276000,455200,1138000,682800
3/31/2022,7940000,1588000,3970000,2382000
6/6/2022,4424000,884800,2212000,1327200
1/7/2023,6770000,1354000,3385000,2031000
7/29/2021,1943000,388600,971500,582900
3/18/2021,9228000,1845600,4614000,2768400
10/26/2023,9756000,1951200,4878000,2926800
10/31/2024,7415000,1483000,3707500,2224500
5/13/2022,9465000,1893000,4732500,2839500
4/15/2023,1390000,278000,695000,417000
6/9/2021,5978000,1195600,2989000,1793400
8/14/2021,8522000,1704400,4261000,2556600
7/16/2024,67000,13400,33500,20100
7/3/2024,9511000,1902200,4755500,2853300
9/14/2022,8260000,1652000,4130000,2478000
4/9/2021,6059000,1211800,3029500,1817700
10/10/2021,5138000,1027600,2569000,1541400
11/16/2021,8728000,1745600,4364000,2618400
12/20/2023,4729000,945800,2364500,1418700
2/9/2023,5025000,1005000,2512500,1507500
3/31/2021,9841000,1968200,4920500,2952300
11/28/2024,5085000,1017000,2542500,1525500
11/11/2023,8733000,1746600,4366500,2619900
5/30/2022,690000,138000,345000,207000
4/25/2021,876000,175200,438000,262800
4/18/2023,6891000,1378200,3445500,2067300
5/18/2022,3948000,789600,1974000,1184400
12/17/2022,3348000,669600,1674000,1004400
4/26/2023,2683000,536600,1341500,804900
7/11/2024,2121000,424200,1060500,636300
6/29/2022,8571000,1714200,4285500,2571300
8/8/2024,3718000,743600,1859000,1115400
2/15/2024,9591000,1918200,4795500,2877300
2/11/2021,5185000,1037000,2592500,1555500
3/5/2024,4847000,969400,2423500,1454100
2/2/2024,3175000,635000,1587500,952500
11/10/2021,2094000,418800,1047000,628200
7/1/2022,3570000,714000,1785000,1071000
10/3/2023,4027000,805400,2013500,1208100
3/16/2022,2838000,567600,1419000,851400
3/10/2021,9630000,1926000,4815000,2889000
6/9/2023,1781000,356200,890500,534300
2/3/2021,3726000,745200,1863000,1117800
5/28/2021,4695000,939000,2347500,1408500
6/25/2022,2668000,533600,1334000,800400
9/30/2024,9130000,1826000,4565000,2739000
5/24/2023,3931000,786200,1965500,1179300
11/27/2022,5519000,1103800,2759500,1655700
5/1/2023,4285000,857000,2142500,1285500
12/13/2022,6598000,1319600,3299000,1979400
9/1/2022,3397000,679400,1698500,1019100
8/24/2024,9989000,1997800,4994500,2996700
5/1/2022,4319000,863800,2159500,1295700
10/30/2024,9442000,1888400,4721000,2832600
3/10/2022,6539000,1307800,3269500,1961700
6/16/2022,7515000,1503000,3757500,2254500
11/27/2022,4403000,880600,2201500,1320900
6/25/2023,1646000,329200,823000,493800
4/1/2023,4717000,943400,2358500,1415100
4/7/2022,9564000,1912800,4782000,2869200
6/22/2024,8715000,1743000,4357500,2614500
7/30/2021,5162000,1032400,2581000,1548600
1/19/2021,7711000,1542200,3855500,2313300
5/7/2022,8575000,1715000,4287500,2572500
8/16/2023,4936000,987200,2468000,1480800
8/31/2022,9782000,1956400,4891000,2934600
1/3/2024,9323000,1864600,4661500,2796900
7/3/2024,6691000,1338200,3345500,2007300
9/12/2024,8000000,1600000,4000000,2400000
11/26/2021,6230000,1246000,3115000,1869000
12/17/2021,1522000,304400,761000,456600
11/19/2023,1841000,368200,920500,552300
12/9/2021,1567000,313400,783500,470100
8/9/2021,9684000,1936800,4842000,2905200
7/20/2021,454000,90800,227000,136200
3/21/2023,8688000,1737600,4344000,2606400
7/22/2021,2282000,456400,1141000,684600
7/28/2021,6187000,1237400,3093500,1856100
2/26/2023,1206000,241200,603000,361800
5/25/2022,6586000,1317200,3293000,1975800
2/17/2024,2502000,500400,1251000,750600
12/26/2021,9717000,1943400,4858500,2915100
6/23/2024,1055000,211000,527500,316500
7/21/2023,5660000,1132000,2830000,1698000
9/6/2024,443000,88600,221500,132900
3/9/2024,9781000,1956200,4890500,2934300
8/3/2022,6315000,1263000,3157500,1894500
12/11/2023,9685000,1937000,4842500,2905500
10/15/2022,4542000,908400,2271000,1362600
11/21/2021,4152000,830400,2076000,1245600
4/2/2022,4779000,955800,2389500,1433700
5/31/2024,4152000,830400,2076000,1245600
4/15/2024,9383000,1876600,4691500,2814900
10/6/2022,9754000,1950800,4877000,2926200
3/29/2024,2035000,407000,1017500,610500
10/4/2024,5665000,1133000,2832500,1699500
10/3/2021,9759000,1951800,4879500,2927700
6/28/2021,5106000,1021200,2553000,1531800
5/5/2023,6930000,1386000,3465000,2079000
11/2/2022,829000,165800,414500,248700
5/22/2024,9889000,1977800,4944500,2966700
6/14/2022,8389000,1677800,4194500,2516700
3/31/2022,5922000,1184400,2961000,1776600
7/31/2022,3220000,644000,1610000,966000
2/12/2024,9510000,1902000,4755000,2853000
10/27/2024,7361000,1472200,3680500,2208300
12/11/2022,5372000,1074400,2686000,1611600
1/25/2022,1355000,271000,677500,406500
11/10/2022,3648000,729600,1824000,1094400
1/28/2024,8710000,1742000,4355000,2613000
7/26/2024,6739000,1347800,3369500,2021700
10/8/2022,1216000,243200,608000,364800
2/14/2023,5620000,1124000,2810000,1686000
6/24/2024,6464000,1292800,3232000,1939200
10/31/2024,4639000,927800,2319500,1391700
11/22/2022,4031000,806200,2015500,1209300
1/21/2024,409000,81800,204500,122700
11/10/2024,2993000,598600,1496500,897900
9/16/2021,4840000,968000,2420000,1452000
8/14/2024,2422000,484400,1211000,726600
6/15/2021,5044000,1008800,2522000,1513200
9/24/2023,163000,32600,81500,48900
2/2/2023,3956000,791200,1978000,1186800
10/8/2023,4489000,897800,2244500,1346700
6/7/2023,5389000,1077800,2694500,1616700
7/30/2023,9701000,1940200,4850500,2910300
9/12/2021,2823000,564600,1411500,846900
10/23/2024,7124000,1424800,3562000,2137200
10/17/2022,4943000,988600,2471500,1482900
11/11/2021,3913000,782600,1956500,1173900
4/30/2023,1317000,263400,658500,395100
12/25/2023,9771000,1954200,4885500,2931300
11/28/2023,5863000,1172600,2931500,1758900
1/17/2021,8183000,1636600,4091500,2454900
3/13/2023,4203000,840600,2101500,1260900
6/29/2021,6099000,1219800,3049500,1829700
3/17/2022,6813000,1362600,3406500,2043900
11/24/2024,5835000,1167000,2917500,1750500
2/4/2021,715000,143000,357500,214500
10/22/2023,4859000,971800,2429500,1457700
8/20/2023,7427000,1485400,3713500,2228100
6/12/2023,5203000,1040600,2601500,1560900
9/1/2023,3232000,646400,1616000,969600
1/28/2024,2205000,441000,1102500,661500
4/24/2021,8466000,1693200,4233000,2539800
4/9/2024,9644000,1928800,4822000,2893200
9/27/2022,906000,181200,453000,271800
11/19/2023,8761000,1752200,4380500,2628300
9/18/2022,4248000,849600,2124000,1274400
7/27/2024,8810000,1762000,4405000,2643000
8/29/2021,4444000,888800,2222000,1333200
5/10/2021,8656000,1731200,4328000,2596800
9/21/2021,8403000,1680600,4201500,2520900
3/11/2024,295000,59000,147500,88500
1/17/2023,7220000,1444000,3610000,2166000
9/24/2022,747000,149400,373500,224100
10/24/2024,9540000,1908000,4770000,2862000
6/4/2023,2183000,436600,1091500,654900
2/28/2023,8098000,1619600,4049000,2429400
8/7/2023,552000,110400,276000,165600
7/18/2023,7567000,1513400,3783500,2270100
2/6/2024,404000,80800,202000,121200
9/27/2021,1120000,224000,560000,336000
10/19/2022,3616000,723200,1808000,1084800
3/7/2024,8829000,1765800,4414500,2648700
10/15/2024,2862000,572400,1431000,858600
11/21/2021,2752000,550400,1376000,825600
8/7/2024,2762000,552400,1381000,828600
11/8/2024,2308000,461600,1154000,692400
11/2/2024,7538000,1507600,3769000,2261400
2/6/2024,2417000,483400,1208500,725100
10/19/2021,6447000,1289400,3223500,1934100
1/12/2023,485000,97000,242500,145500
1/25/2024,5883000,1176600,2941500,1764900
10/11/2023,1500000,300000,750000,450000
4/11/2023,5505000,1101000,2752500,1651500
8/8/2021,5759000,1151800,2879500,1727700
3/2/2021,2205000,441000,1102500,661500
3/23/2023,3813000,762600,1906500,1143900
12/9/2023,946000,189200,473000,283800
2/7/2022,1099000,219800,549500,329700
10/19/2023,7233000,1446600,3616500,2169900
1/13/2024,7449000,1489800,3724500,2234700
4/17/2023,9415000,1883000,4707500,2824500
12/19/2022,6363000,1272600,3181500,1908900
11/21/2021,5235000,1047000,2617500,1570500
2/23/2021,2121000,424200,1060500,636300
4/2/2022,960000,192000,480000,288000
6/20/2024,4867000,973400,2433500,1460100
12/18/2022,5093000,1018600,2546500,1527900
4/4/2021,9999000,1999800,4999500,2999700
5/30/2021,9616000,1923200,4808000,2884800
10/22/2024,3407000,681400,1703500,1022100
6/15/2021,7714000,1542800,3857000,2314200
3/15/2022,84000,16800,42000,25200
10/17/2022,2916000,583200,1458000,874800
12/26/2021,2281000,456200,1140500,684300
11/1/2024,7438000,1487600,3719000,2231400
10/31/2024,3844000,768800,1922000,1153200
11/5/2022,9410000,1882000,4705000,2823000
10/15/2023,7018000,1403600,3509000,2105400
8/17/2024,2266000,453200,1133000,679800
1/23/2022,5380000,1076000,2690000,1614000
8/1/2022,7211000,1442200,3605500,2163300
6/30/2021,8179000,1635800,4089500,2453700
3/26/2021,768000,153600,384000,230400
3/16/2021,4865000,973000,2432500,1459500
8/7/2021,5683000,1136600,2841500,1704900
12/4/2022,9103000,1820600,4551500,2730900
10/30/2022,3150000,630000,1575000,945000
9/2/2021,8582000,1716400,4291000,2574600
10/19/2021,7546000,1509200,3773000,2263800
9/24/2021,2206000,441200,1103000,661800
4/1/2023,4093000,818600,2046500,1227900
9/9/2022,4520000,904000,2260000,1356000
2/22/2022,8913000,1782600,4456500,2673900
11/1/2023,7114000,1422800,3557000,2134200
9/23/2023,8849000,1769800,4424500,2654700
2/26/2022,4880000,976000,2440000,1464000
4/17/2023,3501000,700200,1750500,1050300
10/25/2024,6571000,1314200,3285500,1971300
4/20/2021,1470000,294000,735000,441000
5/4/2024,7061000,1412200,3530500,2118300
12/26/2021,5563000,1112600,2781500,1668900
10/26/2022,4970000,994000,2485000,1491000
1/15/2023,4730000,946000,2365000,1419000
1/12/2023,2604000,520800,1302000,781200
1/24/2023,7941000,1588200,3970500,2382300
11/22/2021,6034000,1206800,3017000,1810200
4/17/2023,6197000,1239400,3098500,1859100
10/17/2024,6210000,1242000,3105000,1863000
8/18/2022,6686000,1337200,3343000,2005800
3/25/2023,7725000,1545000,3862500,2317500
5/20/2021,3857000,771400,1928500,1157100
2/23/2021,151000,30200,75500,45300
1/5/2023,1931000,386200,965500,579300
2/14/2022,8273000,1654600,4136500,2481900
4/5/2021,2025000,405000,1012500,607500
